x,y,reach_id,river_name,records
90.073082451586970,24.159079554654511,"45220200994",Jinhai River & Banshi River,"1"
90.152449167258609,24.906556377594491,"45220200131",Brahmaputra River,"1"
90.105951174521650,24.915388923507933,"45220200144",Brahmaputra River,"1"
90.093601225322686,24.911769088968057,"45220200151",Brahmaputra River,"1"
89.890761584807308,25.008084442562939,"45220201061",NODATA,"1"
89.849392523016334,25.002681574949015,"45220201091",NODATA,"1"
89.822568787176607,25.068753558756768,"45220201121",Brahmaputra,"1"
89.807109511559261,25.140159681838902,"45220201141",Brahmaputra,"1"
89.796996925231355,25.196797438258308,"45220201151",Brahmaputra,"1"
89.765400036807790,25.217463667281965,"45220201081",Brahmaputra,"1"
89.799045499329750,25.255002726880168,"45220201171",Brahmaputra,"1"
89.800665397000913,25.325716193476367,"45253002061",NODATA,"1"
90.087952602856816,24.277401404236457,"45220200344",Jinhai River & Banshi River,"1"
90.214394346398791,24.876595907694199,"45220200121",Brahmaputra River,"1"
90.143196426349093,24.873880529340450,"45220201011",NODATA,"1"
90.049525257242010,24.882018508406595,"45220201021",Bharmaputra River,"1"
89.944859322783927,24.951091736019947,"45220201041",Bharmaputra River,"1"
89.888341424630923,25.032304572829666,"45220201071",NODATA,"1"
89.859231020689833,25.089587377253391,"45220201111",NODATA,"1"
89.845863535345913,25.162484665418162,"45220201131",NODATA,"1"
89.818772968768258,24.372699349204641,"45253002015",Jamuna River,"1"
89.944389268887591,24.062260700381714,"45220200885",NODATA,"1"
89.895236780974557,24.115915011331211,"45220200855",NODATA,"1"
89.846165028742234,24.157446359988125,"45230000365",NODATA,"1"
89.805459409837184,24.212181070799620,"45253002005",NODATA,"1"
90.512870006404057,23.766183687969324,"45220200455",Shitalakya River,"1"
90.550228195740345,23.843356021030004,"45220200465",Shitalakya River,"1"
90.578516663696021,23.899511958239174,"45220200475",Shitalakya River,"1"
90.617288382409328,23.956510705072844,"45220200485",Shitalakya River,"1"
90.645485704202983,24.035296788371415,"45220200495",Shitalakya River,"1"
90.593763562313413,24.107688187808783,"45220200505",Shitalakya River,"1"
90.548788399801808,24.158339813569384,"45220200515",Shitalakya River,"1"
90.541313425998794,24.237429045100299,"45220200525",Shitalakya River,"1"
90.524489167099844,24.295065911727782,"45220200535",Shitalakya River,"58"
90.294205761554622,23.805727150970586,"45220200245",Jinhai River & Banshi River,"1"
90.020979350581669,23.803510070776408,"45220200895",Dhaleshwari River,"1"
89.988914804333177,23.824665688755104,"45220200845",Dhaleshwari River,"29"
90.592610093069467,24.262130540509958,"45220200775",Shitalakya River,"43"
90.635892126977581,24.302083239681853,"45220200045",Brahmaputra River,"1"
90.632457770956790,24.422283420911786,"45220200051",Brahmaputra River,"1"
90.520034099507555,24.525855162504502,"45220200061",Brahmaputra River,"1"
90.476779067279239,24.625745109153382,"45220200071",Brahmaputra River,"1"
90.463903544923596,24.696267786088832,"45220200081",Brahmaputra River,"1"
90.396872779652327,24.770739662713378,"45220200091",Brahmaputra River,"1"
90.304506703340508,24.811989780885050,"45220200101",Brahmaputra River,"1"
90.272674158765568,24.854650759437192,"45220200111",Brahmaputra River,"1"
90.182108345383313,24.040009044878936,"45220200715",Dhaleswari River,"53"
90.129269127320839,24.055737100354015,"45220200965",Dhaleswari River,"51"
90.052173704503289,24.036196488667660,"45220200935",Dhaleswari River,"57"
90.481498156631901,23.830708732647150,"45220200635",Balu River,"49"
90.339858902959847,23.825786382163429,"45220200665",Turag River,"35"
90.340676228491773,23.905728036072627,"45220200795",Turag River,"46"
90.338685961614516,23.981142112448641,"45220200785",Turag River,"40"
